,school_name,early_career_pay,mid_career_pay,meaning_percentage,stem_percentage,engineering,private_school,religious,art,for_sports_fans,party_school,liberal_arts_school,state_school,research_university,business,sober_school,ivy_league,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,AIAN_enrollment_percentage,Asian_enrollment_percentage,Black_enrollment_percentage,Hispanic_enrollment_percentage,NHPI_enrollment_percentage,non_resident_enrollment_percentage,total_minority_enrollment_percentage,unknown_enrollment_percentage,White_enrollment_percentage,women_enrollment_percentage,school_rank
922,University of Central Missouri,48400,82700,54,45,False,False,False,False,False,False,False,True,False,False,False,False,MO,Public,4 Year,8766.0,7673.0,16439.0,14442.0,23208.0,13379.0,0.001943344046640257,0.009268256222438149,0.06622318558935646,0.024067568577621646,0.0007474400179385604,0.1419388594065326,0.12213169893116077,0.13506241124149787,0.6008670304208087,0.5343448688242769,over_250
923,Ball State University,46700,82700,49,7,False,False,False,False,True,False,False,True,True,False,False,False,IN,Public,4 Year,10234.0,9896.0,20130.0,26468.0,36702.0,20655.0,0.0012587751149842653,0.010409101912369887,0.06671508109416606,0.03350278382958122,0.0011619462599854757,0.03839264100702009,0.13294601791333818,0.0411038489469862,0.7875574921326556,0.6070200919874122,top_200
924,Northwest Nazarene University,48200,82700,70,7,False,True,True,False,False,False,False,False,False,False,False,False,ID,Private,4 Year,7400.0,29300.0,36700.0,29300.0,36700.0,2249.0,0.006224988883948421,0.01200533570475767,0.0164517563361494,0.07781236104935527,0.004001778568252557,0.023566029346376166,0.13606047132058693,0.06047132058692752,0.7799021787461093,0.5838150289017341,over_250
925,Angelo State University,48700,82700,63,9,False,False,False,False,False,False,False,True,False,False,False,False,TX,Public,4 Year,9130.0,8489.0,17619.0,20939.0,30069.0,6494.0,0.004311672312904219,0.011395133969818293,0.08099784416384355,0.2885740683708038,0.0013858946720049275,0.02817985833076686,0.4105327995072374,0.02386818601786264,0.537419156144133,0.5654450261780105,over_250
926,Salem State University,49100,82600,53,9,False,False,False,False,False,False,False,True,False,False,False,False,MA,Public,4 Year,12722.0,10884.0,23606.0,17024.0,29746.0,9267.0,0.0016186468112657818,0.029998920902125824,0.07521312183015,0.10531995251969353,0.0003237293622531564,0.043379734541922954,0.2314664940110068,0.037444696233948416,0.6877090752131219,0.631595985755908,over_250
927,University of the District of Columbia,53700,82600,59,10,False,False,False,False,False,False,False,True,False,False,False,False,DC,Public,4 Year,16425.0,8252.0,24677.0,16388.0,32813.0,,,,,,,,,,,,over_250
928,Spelman College,52800,82600,54,24,False,True,False,True,False,False,True,False,False,False,False,False,GA,Private,4 Year,13865.0,29314.0,43179.0,29314.0,43179.0,2135.0,0.001405152224824356,0.000936768149882904,0.8688524590163934,0.003278688524590164,0.0,0.014988290398126464,0.9016393442622951,0.08290398126463701,0.000468384074941452,1.0,over_250
929,University of Puerto Rico Medical Sciences,46600,82600,57,5,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
930,University of the Virgin Islands,45800,82600,0,19,False,False,False,False,False,False,False,True,False,False,False,False,VI,Public,4 Year,9900.0,5235.0,15135.0,14496.0,24396.0,,,,,,,,,,,,over_250
931,University of Charleston,46300,82600,54,4,False,True,False,False,False,False,False,False,False,False,False,False,WV,Private,4 Year,9180.0,30900.0,40080.0,30900.0,40080.0,2111.0,0.009000473709142587,0.02700142112742776,0.09900521080056846,0.025580293699668404,0.0009474182851729038,0.06300331596399811,0.17148270961629558,0.15253434391283752,0.6129796305068688,0.5490288962576978,over_250
932,Slippery Rock University of Pennsylvania,47200,82600,58,8,False,False,False,False,False,False,False,True,False,False,False,False,PA,Public,4 Year,10312.0,10517.0,20829.0,18233.0,28545.0,8495.0,0.0015303119482048264,0.0067098293113596235,0.049558563861094765,0.020600353148911125,0.0005885815185403178,0.010947616244849911,0.10512065921130076,0.022954679223072396,0.8609770453207769,0.5869334902884049,over_250
933,Baldwin Wallace University,46900,82500,45,15,False,True,False,False,False,False,False,False,False,False,False,False,OH,Private,4 Year,9554.0,32586.0,42140.0,32586.0,42140.0,3979.0,0.0010052777079668257,0.014576526765518974,0.08218145262628801,0.04749937170143252,0.0007539582809751194,0.015079165619502387,0.18019602915305352,0.007288263382759487,0.7974365418446846,0.5566725307866298,over_250
934,Nebraska Methodist College of Nursing & Allied Health,55500,82400,76,0,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
935,Rockford University,46600,82400,60,4,False,True,False,False,False,False,False,False,False,False,False,False,IL,Private,4 Year,8660.0,30930.0,39590.0,30930.0,39590.0,1277.0,0.0,0.018010963194988253,0.08613938919342208,0.04463586530931871,0.0007830853563038371,0.01096319498825372,0.22944400939702428,0.08770555990602975,0.6718872357086922,0.610806577916993,over_250
936,Fisk University,45900,82400,50,39,False,True,False,True,False,False,True,False,False,False,False,False,TN,Private,4 Year,10790.0,21480.0,32270.0,21480.0,32270.0,772.0,0.0,0.007772020725388601,0.8458549222797928,0.023316062176165803,0.0012953367875647669,0.0,0.8937823834196891,0.09585492227979274,0.010362694300518135,0.6295336787564767,over_250
937,University of Wisconsin Oshkosh,49200,82400,52,10,False,False,False,False,False,False,False,True,False,False,False,False,WI,Public,4 Year,7448.0,8820.0,16268.0,16393.0,23841.0,,,,,,,,,,,,over_250
938,Defiance College,41800,82400,57,7,False,True,True,False,False,False,False,False,False,False,False,False,OH,Private,4 Year,10220.0,32730.0,42950.0,32730.0,42950.0,920.0,0.009782608695652175,0.007608695652173913,0.11304347826086956,0.04891304347826087,0.0,0.014130434782608696,0.1858695652173913,0.03260869565217391,0.7673913043478261,0.4891304347826087,over_250
939,The University of the Arts,48200,82400,41,0,False,True,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
940,Muskingum University,45000,82400,52,10,False,True,True,False,False,False,False,False,False,False,False,False,OH,Private,4 Year,11480.0,28516.0,39996.0,28516.0,39996.0,2074.0,0.0019286403085824494,0.0057859209257473485,0.040501446480231434,0.013500482160077145,0.0,0.040983606557377046,0.08196721311475409,0.19286403085824494,0.6841851494696239,0.5838958534233365,over_250
941,Flagler College St Augustine,43400,82300,47,0,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
942,Bellevue College,53700,82300,54,14,False,False,False,False,False,False,False,True,False,False,False,False,WA,Public,2 Year,,4258.0,4258.0,9689.0,9689.0,13469.0,0.00541985299576806,0.16831242111515332,0.04877867696191254,0.10824857079218947,0.005865320365283243,0.05746529066745861,0.3775335956641176,0.09028138688841042,0.47471972678001334,0.5463657287103719,over_250
943,The University of West Florida,46100,82200,56,11,False,False,False,False,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
944,University of Houston Victoria,49600,82200,58,12,False,False,False,False,False,False,False,True,False,False,False,False,TX,Public,4 Year,8045.0,7970.0,16015.0,20420.0,28465.0,4407.0,0.0018152938506920807,0.09938733832539143,0.1819832085318811,0.28658951667801225,0.0011345586566825505,0.036305877013841616,0.595189471295666,0.008849557522123894,0.3596550941683685,0.6507828454731109,over_250
945,Randolph Macon College,47000,82200,0,21,False,True,True,True,False,False,True,False,False,False,False,False,VA,Private,4 Year,11860.0,41400.0,53260.0,41400.0,53260.0,1394.0,0.0028694404591104736,0.019368723098995694,0.08823529411764706,0.04232424677187949,0.0,0.02295552367288379,0.19296987087517933,0.017934002869440458,0.7661406025824964,0.5444763271162123,over_250
946,University of Nebraska at Kearney,45400,82100,55,8,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,6902.0,0.0018835120254998552,0.008982903506230079,0.018255578093306288,0.08461315560707042,0.00043465662126919734,0.06157635467980296,0.12735439003187482,0.009562445667922342,0.8015068096203999,0.5943204868154158,over_250
947,Charter Oak State College,51500,82100,70,2,False,False,False,True,False,False,True,True,False,False,False,False,CT,Public,4 Year,,10161.0,10161.0,13101.0,13101.0,1929.0,0.003110419906687403,0.012960082944530845,0.16744427164333853,0.12286158631415241,0.0010368066355624676,0.006220839813374806,0.3322965266977709,0.08346293416277864,0.5780196993260757,0.673924313115604,over_250
